"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,50.0289955862391,5.36433685029039
"2",2022-03-08 00:00:05,1,303,100,49.1810844104527,5.40066722638057
"3",2022-03-08 00:00:10,1,303,100,49.5022468185098,5.77980281836555
"4",2022-03-08 00:00:15,1,303,100,48.9900380936779,5.38038719913539
"5",2022-03-08 00:00:20,1,303,100,50.2071395189135,5.65426409486524
"6",2022-03-08 00:00:25,1,303,100,49.3302994423389,5.61881543121546
"7",2022-03-08 00:00:30,1,303,100,49.2097263148111,5.49479583561285
"8",2022-03-08 00:00:35,1,303,100,49.3845717084289,5.68341095249206
"9",2022-03-08 00:00:40,1,303,100,50.1663801105219,5.71608452655095
"10",2022-03-08 00:00:45,1,303,100,50.6980226897143,5.42056029472678
"11",2022-03-08 00:00:50,1,303,100,47.7192898360349,5.30636267394344
"12",2022-03-08 00:00:55,1,303,100,50.4016622310543,5.6233810876069
"13",2022-03-08 00:01:00,1,303,100,50.4059288987624,5.52196121216577
"14",2022-03-08 00:01:05,1,303,100,50.028962770165,5.09297277698393
"15",2022-03-08 00:01:10,1,303,100,48.0455628978241,5.62236586111242
"16",2022-03-08 00:01:15,1,303,100,48.9947722603522,5.76265782468727
"17",2022-03-08 00:01:20,1,303,100,50.5411564405305,5.47890352788705
"18",2022-03-08 00:01:25,1,303,100,50.2887029034469,5.35548233507415
"19",2022-03-08 00:01:30,1,303,100,49.8480253933984,5.47042608817392
"20",2022-03-08 00:01:35,1,303,100,49.1939794911561,5.86228888663935
"21",2022-03-08 00:01:40,1,303,100,50.6028787894195,5.4869447966896
"22",2022-03-08 00:01:45,1,303,100,50.190724415276,5.82138302015089
"23",2022-03-08 00:01:50,1,303,100,47.9998259479596,5.25554710683631
"24",2022-03-08 00:01:55,1,303,100,47.0341376094531,5.49451824482975
"25",2022-03-08 00:02:00,1,303,100,51.4148010396887,5.27863011229496
"26",2022-03-08 00:02:05,1,303,100,49.7039100554079,5.22584638732549
"27",2022-03-08 00:02:10,1,303,100,50.0262343823085,5.60179155017432
"28",2022-03-08 00:02:15,1,303,100,49.8263728905334,5.70594061062464
"29",2022-03-08 00:02:20,1,303,100,50.031912155928,5.28458498635345
"30",2022-03-08 00:02:25,1,303,100,50.1851023241945,5.50416964705072
"31",2022-03-08 00:02:30,1,303,100,47.6312112126616,5.63203262914789
"32",2022-03-08 00:02:35,1,303,100,50.1637658522677,5.2986860634696
"33",2022-03-08 00:02:40,1,303,100,49.0823914181643,5.20593474364295
"34",2022-03-08 00:02:45,1,303,100,49.7205135193393,5.52440362297142
"35",2022-03-08 00:02:50,1,303,100,50.5325858762733,5.87216245573447
"36",2022-03-08 00:02:55,1,303,100,48.6518842578856,5.03996116756862
"37",2022-03-08 00:03:00,1,303,100,49.2530037157224,5.47765624121892
"38",2022-03-08 00:03:05,1,303,100,49.3922456519746,5.90713378764178
"39",2022-03-08 00:03:10,1,303,100,48.5388738523226,5.16062268133484
"40",2022-03-08 00:03:15,1,303,100,52.6675818761081,5.69310361328147
"41",2022-03-08 00:03:20,1,303,100,49.6450863373286,5.27092477416903
